Variable,VariableName
DP05_0005E,Pop Age Below5yo
DP05_0001E,Pop Age Total
S1701_C02_001E,Pop Poverty Below100Pct
S1701_C01_001E,Pop Poverty Total 
DP03_0062E,Median HH Income
